iter	Passed	Remaining
0	135	135154
1	136	68249
2	138	46010
3	139	34771
4	140	28026
5	141	23511
6	142	20281
7	144	17877
8	145	15984
9	146	14469
10	147	13233
11	148	12199
12	149	11378
13	152	10711
14	153	10082
15	155	9568
16	157	9109
17	159	8704
18	160	8303
19	161	7932
20	164	7671
21	165	7368
22	166	7089
23	168	6832
24	169	6591
25	170	6372
26	171	6167
27	172	5990
28	173	5812
29	174	5650
30	175	5495
31	177	5355
32	180	5297
33	181	5168
34	183	5051
35	184	4946
36	185	4837
37	186	4733
38	188	4644
39	189	4549
40	190	4466
41	193	4407
42	194	4327
43	195	4251
44	196	4179
45	198	4111
46	199	4046
47	201	3987
48	202	3924
49	203	3864
50	204	3808
51	205	3752
52	208	3723
53	209	3670
54	210	3625
55	212	3576
56	213	3536
57	214	3491
58	216	3446
59	217	3405
60	218	3364
61	219	3321
62	220	3284
63	222	3247
64	223	3214
65	224	3178
66	225	3142
67	226	3107
68	227	3071
69	228	3039
70	229	3007
71	230	2977
72	231	2945
73	232	2915
74	233	2884
75	234	2854
76	235	2826
77	237	2801
78	238	2777
79	239	2757
80	240	2733
81	242	2709
82	242	2680
83	243	2656
84	244	2634
85	245	2613
86	246	2591
87	248	2570
88	249	2549
89	250	2529
90	251	2508
91	252	2490
92	254	2481
93	255	2462
94	256	2444
95	257	2425
96	258	2406
97	259	2389
98	260	2372
99	261	2354
100	262	2337
101	263	2321
102	264	2305
103	265	2289
104	266	2273
105	267	2260
106	269	2245
107	269	2229
108	270	2214
109	271	2199
110	272	2184
111	273	2169
112	274	2154
113	275	2141
114	276	2128
115	277	2115
116	278	2101
117	279	2092
118	280	2080
119	284	2086
120	285	2075
121	286	2061
122	287	2049
123	288	2038
124	289	2026
125	290	2014
126	291	2001
127	292	1990
128	293	1978
129	294	1968
130	295	1957
131	296	1948
132	297	1939
133	298	1929
134	299	1919
135	300	1909
136	301	1900
137	302	1890
138	303	1883
139	304	1873
140	306	1865
141	306	1853
142	307	1844
143	308	1834
144	309	1826
145	310	1817
146	311	1809
147	313	1803
148	314	1798
149	316	1790
150	317	1783
151	318	1776
152	319	1768
153	320	1761
154	321	1755
155	323	1747
156	323	1739
157	324	1731
158	326	1724
159	327	1718
160	328	1709
161	329	1702
162	330	1695
163	331	1690
164	332	1684
165	334	1678
166	335	1675
167	337	1669
168	338	1663
169	339	1657
170	340	1650
171	343	1654
172	345	1649
173	346	1643
174	347	1636
175	349	1637
176	351	1634
177	352	1628
178	353	1623
179	355	1617
180	357	1618
181	359	1615
182	360	1608
183	361	1602
184	362	1598
185	365	1598
186	366	1592
187	367	1586
188	368	1581
189	369	1576
190	370	1571
191	372	1566
192	373	1561
193	374	1555
194	375	1549
195	376	1544
196	377	1539
197	379	1535
198	380	1530
199	381	1525
200	382	1520
201	384	1517
202	386	1515
203	388	1516
204	389	1511
205	390	1506
206	391	1501
207	392	1495
208	393	1490
209	394	1485
210	396	1480
211	397	1475
212	398	1470
213	399	1466
214	400	1461
215	401	1458
216	403	1454
217	404	1451
218	406	1448
219	407	1443
220	408	1438
221	409	1434
222	410	1430
223	411	1426
224	412	1422
225	413	1417
226	414	1412
227	416	1409
228	417	1404
229	418	1402
230	420	1398
231	421	1394
232	422	1390
233	423	1386
234	424	1382
235	425	1378
236	427	1375
237	428	1370
238	429	1366
239	430	1362
240	432	1360
241	433	1356
242	434	1353
243	435	1350
244	436	1346
245	438	1342
246	439	1339
247	440	1335
248	441	1331
249	442	1327
250	443	1323
251	444	1319
252	446	1318
253	447	1315
254	449	1312
255	450	1308
256	451	1304
257	452	1300
258	453	1296
259	454	1292
260	455	1289
261	456	1285
262	457	1281
263	458	1277
264	459	1273
265	460	1269
266	461	1265
267	462	1262
268	463	1259
269	464	1256
270	465	1252
271	466	1249
272	467	1246
273	468	1242
274	469	1238
275	470	1235
276	471	1231
277	472	1228
278	473	1224
279	474	1221
280	476	1218
281	477	1215
282	478	1211
283	479	1207
284	480	1204
285	481	1201
286	482	1198
287	483	1194
288	484	1191
289	485	1187
290	486	1184
291	487	1181
292	488	1177
293	489	1174
294	490	1171
295	491	1168
296	492	1165
297	493	1162
298	494	1159
299	495	1156
300	496	1153
301	497	1150
302	498	1146
303	499	1143
304	500	1140
305	501	1136
306	502	1133
307	503	1130
308	504	1127
309	505	1124
310	506	1121
311	507	1118
312	508	1115
313	509	1112
314	510	1109
315	511	1106
316	512	1103
317	513	1100
318	514	1097
319	515	1094
320	516	1091
321	517	1088
322	517	1085
323	518	1082
324	520	1080
325	521	1077
326	522	1075
327	523	1072
328	524	1069
329	525	1066
330	526	1063
331	527	1060
332	528	1057
333	529	1054
334	529	1051
335	530	1049
336	531	1046
337	532	1043
338	533	1040
339	534	1037
340	535	1035
341	536	1032
342	537	1030
343	538	1027
344	539	1025
345	540	1022
346	541	1019
347	542	1017
348	543	1014
349	544	1011
350	545	1009
351	546	1006
352	547	1003
353	548	1001
354	549	998
355	550	995
356	551	993
357	552	990
358	553	988
359	554	985
360	555	983
361	556	980
362	557	977
363	558	975
364	559	972
365	560	970
366	561	968
367	562	965
368	563	962
369	564	960
370	565	959
371	566	957
372	568	955
373	569	953
374	570	951
375	571	948
376	572	946
377	573	943
378	574	941
379	575	939
380	576	937
381	577	934
382	578	931
383	579	929
384	580	927
385	581	924
386	582	922
387	583	920
388	584	917
389	585	915
390	586	913
391	587	910
392	588	908
393	589	906
394	590	903
395	591	901
396	592	899
397	592	896
398	593	894
399	594	892
400	596	890
401	597	888
402	598	886
403	599	883
404	600	881
405	601	879
406	602	877
407	603	875
408	604	873
409	605	871
410	606	869
411	607	866
412	608	864
413	609	862
414	610	860
415	611	858
416	612	856
417	613	854
418	614	852
419	615	849
420	616	847
421	617	845
422	618	843
423	619	841
424	620	838
425	620	836
426	621	834
427	622	832
428	623	830
429	625	828
430	626	827
431	627	825
432	628	823
433	629	821
434	630	819
435	631	817
436	632	815
437	633	813
438	634	811
439	635	808
440	636	806
441	637	804
442	638	802
443	639	800
444	640	798
445	641	797
446	642	795
447	643	793
448	644	791
449	645	789
450	646	787
451	647	785
452	648	783
453	649	781
454	650	779
455	651	777
456	652	775
457	653	773
458	654	771
459	655	769
460	657	768
461	658	766
462	659	764
463	660	762
464	661	760
465	662	758
466	663	756
467	664	754
468	664	752
469	665	750
470	666	748
471	667	746
472	668	745
473	669	743
474	670	741
475	671	739
476	672	737
477	673	735
478	674	734
479	675	732
480	676	730
481	677	728
482	678	726
483	679	724
484	680	722
485	681	720
486	682	718
487	683	716
488	684	715
489	685	713
490	686	711
491	687	710
492	688	708
493	689	706
494	690	704
495	691	702
496	692	700
497	693	698
498	694	697
499	695	695
500	696	693
501	697	691
502	697	689
503	699	688
504	700	686
505	701	684
506	702	683
507	703	681
508	704	679
509	705	677
510	706	676
511	707	674
512	708	672
513	709	670
514	710	668
515	711	667
516	712	665
517	713	663
518	714	662
519	715	660
520	716	659
521	718	657
522	718	655
523	719	653
524	720	652
525	722	650
526	723	649
527	724	647
528	725	645
529	726	644
530	727	642
531	729	641
532	731	640
533	732	639
534	733	637
535	734	635
536	736	634
537	737	633
538	738	631
539	739	630
540	740	628
541	743	627
542	744	626
543	745	625
544	746	623
545	747	621
546	748	619
547	749	618
548	750	616
549	751	614
550	752	613
551	753	611
552	754	609
553	755	608
554	756	606
555	757	604
556	758	603
557	759	601
558	760	600
559	761	598
560	763	597
561	764	595
562	765	593
563	766	592
564	767	590
565	768	589
566	769	587
567	770	585
568	771	584
569	772	583
570	774	581
571	775	580
572	776	578
573	777	577
574	778	575
575	779	573
576	780	572
577	781	570
578	782	568
579	783	567
580	783	565
581	784	563
582	785	562
583	786	560
584	788	559
585	789	557
586	790	555
587	791	554
588	792	552
589	793	551
590	794	549
591	795	548
592	796	546
593	797	545
594	798	543
595	799	541
596	800	540
597	801	538
598	802	537
599	803	535
600	804	534
601	805	532
602	806	531
603	807	529
604	808	527
605	809	526
606	810	524
607	811	523
608	812	521
609	813	519
610	813	518
611	814	516
612	815	514
613	816	513
614	817	512
615	818	510
616	819	508
617	820	507
618	821	505
619	822	504
620	823	502
621	825	501
622	826	499
623	827	498
624	828	496
625	829	495
626	830	494
627	831	492
628	832	491
629	834	489
630	835	488
631	836	487
632	837	485
633	838	484
634	839	482
635	840	481
636	841	479
637	842	478
638	843	476
639	844	475
640	845	473
641	846	472
642	848	470
643	849	469
644	850	468
645	851	466
646	852	465
647	853	463
648	854	462
649	855	460
650	856	459
651	857	457
652	858	456
653	859	454
654	860	453
655	861	451
656	862	450
657	863	449
658	864	447
659	867	446
660	868	445
661	869	443
662	870	442
663	872	441
664	873	440
665	874	438
666	875	437
667	877	436
668	879	434
669	880	433
670	881	432
671	882	430
672	883	429
673	884	427
674	885	426
675	886	424
676	888	424
677	890	422
678	891	421
679	892	419
680	893	418
681	894	416
682	895	415
683	896	414
684	897	412
685	898	411
686	899	409
687	900	408
688	901	406
689	902	405
690	903	404
691	904	402
692	906	401
693	907	400
694	909	398
695	910	397
696	911	396
697	912	394
698	913	393
699	914	392
700	915	390
701	916	389
702	917	387
703	918	386
704	920	384
705	921	383
706	922	382
707	924	381
708	925	379
709	926	378
710	927	377
711	928	375
712	929	374
713	931	372
714	932	371
715	933	370
716	934	368
717	935	367
718	936	365
719	937	364
720	938	363
721	939	361
722	941	360
723	942	359
724	943	357
725	944	356
726	945	355
727	946	353
728	947	352
729	948	350
730	949	349
731	951	348
732	952	347
733	953	345
734	954	344
735	956	342
736	957	341
737	958	340
738	959	338
739	960	337
740	961	336
741	962	334
742	964	333
743	965	332
744	966	330
745	967	329
746	969	328
747	970	326
748	971	325
749	972	324
750	973	322
751	974	321
752	975	320
753	976	318
754	977	317
755	978	315
756	979	314
757	981	313
758	982	312
759	984	310
760	985	309
761	988	308
762	991	307
763	992	306
764	993	305
765	995	304
766	997	302
767	998	301
768	999	300
769	1000	298
770	1003	297
771	1004	296
772	1008	296
773	1010	294
774	1012	293
775	1014	292
776	1016	291
777	1017	290
778	1019	289
779	1020	287
780	1022	286
781	1024	285
782	1027	284
783	1029	283
784	1031	282
785	1033	281
786	1034	279
787	1035	278
788	1036	277
789	1037	275
790	1038	274
791	1041	273
792	1043	272
793	1044	271
794	1045	269
795	1046	268
796	1047	266
797	1048	265
798	1049	264
799	1050	262
800	1051	261
801	1052	259
802	1053	258
803	1054	257
804	1056	255
805	1057	254
806	1058	253
807	1059	251
808	1060	250
809	1061	249
810	1062	247
811	1063	246
812	1064	244
813	1065	243
814	1066	242
815	1067	240
816	1068	239
817	1069	238
818	1071	236
819	1073	235
820	1074	234
821	1075	232
822	1076	231
823	1077	230
824	1078	228
825	1079	227
826	1081	226
827	1082	224
828	1083	223
829	1085	222
830	1088	221
831	1089	219
832	1090	218
833	1091	217
834	1092	215
835	1093	214
836	1094	213
837	1096	211
838	1097	210
839	1098	209
840	1099	207
841	1100	206
842	1102	205
843	1103	204
844	1104	202
845	1107	201
846	1108	200
847	1110	199
848	1111	197
849	1112	196
850	1113	195
851	1114	193
852	1116	192
853	1118	191
854	1119	189
855	1120	188
856	1121	187
857	1122	185
858	1124	184
859	1125	183
860	1126	181
861	1127	180
862	1128	179
863	1131	178
864	1133	176
865	1134	175
866	1135	174
867	1136	172
868	1137	171
869	1138	170
870	1140	168
871	1141	167
872	1142	166
873	1144	164
874	1147	163
875	1148	162
876	1150	161
877	1151	159
878	1152	158
879	1153	157
880	1154	155
881	1155	154
882	1156	153
883	1157	151
884	1158	150
885	1159	149
886	1161	147
887	1163	146
888	1164	145
889	1165	144
890	1167	142
891	1168	141
892	1169	140
893	1170	138
894	1171	137
895	1172	136
896	1173	134
897	1177	133
898	1178	132
899	1179	131
900	1181	129
901	1182	128
902	1183	127
903	1185	125
904	1186	124
905	1187	123
906	1188	121
907	1190	120
908	1191	119
909	1193	118
910	1194	116
911	1195	115
912	1197	114
913	1198	112
914	1199	111
915	1200	110
916	1201	108
917	1202	107
918	1206	106
919	1208	105
920	1209	103
921	1210	102
922	1212	101
923	1213	99
924	1214	98
925	1215	97
926	1217	95
927	1218	94
928	1223	93
929	1224	92
930	1226	90
931	1227	89
932	1228	88
933	1229	86
934	1230	85
935	1231	84
936	1232	82
937	1233	81
938	1235	80
939	1236	78
940	1237	77
941	1238	76
942	1239	74
943	1241	73
944	1242	72
945	1243	70
946	1244	69
947	1245	68
948	1246	66
949	1248	65
950	1250	64
951	1251	63
952	1253	61
953	1254	60
954	1255	59
955	1256	57
956	1257	56
957	1258	55
958	1259	53
959	1260	52
960	1261	51
961	1263	49
962	1264	48
963	1265	47
964	1266	45
965	1268	44
966	1269	43
967	1270	41
968	1271	40
969	1273	39
970	1274	38
971	1275	36
972	1277	35
973	1278	34
974	1279	32
975	1280	31
976	1282	30
977	1283	28
978	1284	27
979	1285	26
980	1286	24
981	1287	23
982	1288	22
983	1289	20
984	1291	19
985	1292	18
986	1293	17
987	1295	15
988	1296	14
989	1298	13
990	1299	11
991	1300	10
992	1301	9
993	1303	7
994	1304	6
995	1305	5
996	1306	3
997	1308	2
998	1309	1
999	1311	0
